epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.94308,1.25788,3.95433,1.20447,0.02009,0.263,0.1104,0.09298,0.90465,3.74091,0.86738,0.00011817,0.00011817,0.00011817
2,6.48974,1.12602,3.00935,1.07647,0.02205,0.3636,0.18066,0.13451,1.15106,3.43866,0.90464,0.000243,0.000243,0.000243
3,8.9683,1.1384,2.12712,1.09784,0.92498,0.15403,0.28856,0.22382,1.09937,2.80937,0.95134,0.000365311,0.000365311,0.000365311
4,11.3433,1.13448,1.64562,1.11583,0.84435,0.1613,0.30143,0.22535,1.00275,2.60813,0.9424,0.000485101,0.000485101,0.000485101
5,13.7268,1.06601,1.45739,1.05406,0.89541,0.22133,0.34986,0.26987,1.058,2.28497,0.94467,0.000602372,0.000602372,0.000602372
6,16.1228,0.95616,1.26593,1.02871,0.76953,0.25162,0.37354,0.26215,1.25234,2.29206,1.02553,0.000717124,0.000717124,0.000717124
7,18.4255,0.94856,1.18856,1.02272,0.74868,0.29625,0.46831,0.31926,1.23038,2.04969,1.08222,0.000829355,0.000829355,0.000829355
8,20.7853,0.92016,1.10562,1.02393,0.65094,0.39839,0.54442,0.31774,1.49928,1.83016,1.13332,0.000846006,0.000846006,0.000846006
9,23.1022,0.87837,1.03721,1.02318,0.67775,0.5566,0.6314,0.35035,1.64187,1.48208,1.27186,0.000837007,0.000837007,0.000837007
10,25.5059,0.88513,1.00823,1.03176,0.62152,0.56825,0.62459,0.43262,1.0504,1.23322,0.98038,0.000828008,0.000828008,0.000828008
11,27.8528,0.84657,0.96704,1.0088,0.70508,0.65353,0.72004,0.53653,0.85709,1.00154,0.93678,0.000819009,0.000819009,0.000819009
12,30.2181,0.85702,0.94797,1.00452,0.59132,0.72043,0.75689,0.57949,0.79092,0.92975,0.9126,0.00081001,0.00081001,0.00081001
13,32.5658,0.83071,0.90483,0.99542,0.77508,0.6987,0.78213,0.55263,0.98124,0.89129,0.98444,0.000801011,0.000801011,0.000801011
14,34.9265,0.84879,0.89113,0.98233,0.78871,0.6267,0.80746,0.62752,0.72436,0.92084,0.90682,0.000792012,0.000792012,0.000792012
15,37.2767,0.74462,0.80789,0.9617,0.83016,0.68602,0.81537,0.63163,0.7241,0.80205,0.89746,0.000783013,0.000783013,0.000783013
16,39.5958,0.74651,0.79967,0.9582,0.79157,0.69905,0.80621,0.60342,0.72395,0.87384,0.88275,0.000774013,0.000774013,0.000774013
17,41.9095,0.74084,0.80116,0.98608,0.75923,0.6807,0.78139,0.61776,0.64606,0.8526,0.873,0.000765014,0.000765014,0.000765014
18,44.2308,0.76717,0.76243,0.96088,0.81901,0.74666,0.81694,0.63604,0.64353,0.77154,0.86394,0.000756015,0.000756015,0.000756015
19,46.5476,0.7385,0.7586,0.9749,0.81447,0.7169,0.78497,0.63127,0.63331,0.88801,0.86189,0.000747016,0.000747016,0.000747016
20,48.851,0.73842,0.76256,0.96017,0.87626,0.73761,0.83089,0.65908,0.65839,0.69874,0.86774,0.000738017,0.000738017,0.000738017
21,51.1436,0.69753,0.74664,0.94744,0.87714,0.77037,0.83848,0.66799,0.62817,0.69166,0.87479,0.000729018,0.000729018,0.000729018
22,53.5058,0.68087,0.68812,0.93555,0.83392,0.79406,0.86098,0.68654,0.63173,0.63515,0.87662,0.000720019,0.000720019,0.000720019
23,55.9191,0.72757,0.73255,0.94679,0.8777,0.80333,0.87978,0.68703,0.6661,0.62237,0.88376,0.00071102,0.00071102,0.00071102
24,58.2965,0.68121,0.69443,0.94197,0.92932,0.75809,0.86506,0.69054,0.6037,0.59484,0.86457,0.000702021,0.000702021,0.000702021
25,60.6044,0.70173,0.68097,0.9355,0.93754,0.78571,0.8913,0.67697,0.65724,0.58757,0.87104,0.000693022,0.000693022,0.000693022
26,62.9347,0.71148,0.68587,0.9412,0.89749,0.77489,0.86518,0.68439,0.68878,0.63431,0.89617,0.000684022,0.000684022,0.000684022
27,65.2125,0.72171,0.6994,0.95416,0.81041,0.8507,0.88383,0.67951,0.66886,0.61198,0.87063,0.000675023,0.000675023,0.000675023
28,67.538,0.66066,0.64903,0.93831,0.9144,0.84021,0.90373,0.6939,0.65762,0.59427,0.86883,0.000666024,0.000666024,0.000666024
29,69.8159,0.69977,0.65622,0.9356,0.90605,0.82438,0.90053,0.72015,0.60499,0.54858,0.86456,0.000657025,0.000657025,0.000657025
30,72.17,0.69883,0.63783,0.93796,0.95633,0.77883,0.89867,0.71375,0.61329,0.57935,0.86718,0.000648026,0.000648026,0.000648026
31,74.466,0.64532,0.63763,0.95126,0.89876,0.78757,0.9013,0.70923,0.61139,0.58483,0.86772,0.000639027,0.000639027,0.000639027
32,76.7933,0.68105,0.62973,0.94387,0.92086,0.76369,0.88664,0.68468,0.7077,0.58571,0.89787,0.000630028,0.000630028,0.000630028
33,79.1072,0.65882,0.62008,0.93001,0.87194,0.80361,0.88655,0.68704,0.68744,0.57301,0.87576,0.000621029,0.000621029,0.000621029
34,81.4258,0.6355,0.60794,0.92342,0.87645,0.84452,0.90435,0.72894,0.5785,0.53373,0.85261,0.00061203,0.00061203,0.00061203
35,83.7103,0.62901,0.60928,0.92296,0.88816,0.78285,0.89229,0.7298,0.57166,0.57426,0.85114,0.000603031,0.000603031,0.000603031
36,86.0284,0.63616,0.59553,0.92995,0.88682,0.842,0.90524,0.73208,0.53437,0.55422,0.84483,0.000594031,0.000594031,0.000594031
37,88.3592,0.65953,0.58916,0.93603,0.90139,0.8181,0.91177,0.70583,0.57609,0.55845,0.85007,0.000585032,0.000585032,0.000585032
38,90.7408,0.65639,0.57043,0.91873,0.90128,0.78237,0.88788,0.69126,0.57302,0.601,0.85297,0.000576033,0.000576033,0.000576033
39,93.0485,0.61378,0.56559,0.90374,0.87884,0.80753,0.89535,0.71125,0.59961,0.54129,0.86168,0.000567034,0.000567034,0.000567034
40,95.406,0.62381,0.56682,0.91604,0.95859,0.80544,0.90033,0.71433,0.58294,0.51852,0.85702,0.000558035,0.000558035,0.000558035
41,97.7171,0.6372,0.55897,0.91482,0.94295,0.8232,0.90668,0.69959,0.62074,0.52109,0.87259,0.000549036,0.000549036,0.000549036
42,100.043,0.6555,0.57286,0.91803,0.93742,0.86787,0.91618,0.7342,0.59343,0.48972,0.86579,0.000540037,0.000540037,0.000540037
43,102.352,0.62394,0.55687,0.92531,0.92796,0.83785,0.91384,0.70928,0.68707,0.50151,0.88629,0.000531038,0.000531038,0.000531038
44,104.699,0.64685,0.57124,0.92409,0.90592,0.83861,0.90167,0.69178,0.75239,0.52451,0.92072,0.000522039,0.000522039,0.000522039
45,107.006,0.63122,0.56048,0.91686,0.94882,0.80327,0.89347,0.70418,0.64271,0.50062,0.90308,0.00051304,0.00051304,0.00051304
46,109.339,0.61666,0.52723,0.92976,0.93564,0.81568,0.90542,0.68203,0.69816,0.50159,0.90119,0.00050404,0.00050404,0.00050404
47,111.597,0.62118,0.52976,0.90946,0.94664,0.81151,0.91661,0.73219,0.58137,0.49392,0.85954,0.000495041,0.000495041,0.000495041
48,113.916,0.59474,0.52535,0.91,0.93826,0.83226,0.91811,0.74078,0.56117,0.4745,0.85752,0.000486042,0.000486042,0.000486042
49,116.228,0.56665,0.50837,0.90115,0.96018,0.84099,0.91921,0.72344,0.58438,0.46063,0.85882,0.000477043,0.000477043,0.000477043
50,118.542,0.57601,0.50338,0.90305,0.95428,0.81472,0.90757,0.72876,0.57295,0.53524,0.8609,0.000468044,0.000468044,0.000468044
51,120.868,0.57206,0.50395,0.90169,0.97961,0.80278,0.90419,0.73217,0.55429,0.53279,0.85987,0.000459045,0.000459045,0.000459045
